Intervention,Method,SpearmanMean,SpearmanStd,KendallMean,KendallStd,NDCG_at_5_Mean,NDCG_at_5_Std,Trials
X1,AdaCSE,0.289441815844911,0.123396338307297,0.208637486415943,0.0812196499613818,0.905499367054188,5.81133743638318e-08,10
X1,PSX,0.237390534418296,0.160076569015504,0.172044000743338,0.118081759906992,0.865804508924758,0.145587585811126,10
X1,EKGA-std,0.155295017069492,0.230514195953999,0.104068228855692,0.159989828129032,0.695778590639949,0.372318106103573,10
X1,AESL-GA,0.218412743811024,0.189432454657768,0.154862771777151,0.134491684664324,0.82774624383168,0.251810586191665,10
X1,hybrid-SLA,0.2518197135359,0.144139994975673,0.188453158461056,0.108456293648378,0.860351246737426,0.143217146478555,10
X1,MIGA,0.317036451409832,0.119160815408039,0.218838535541531,0.0978061178085895,0.814949490096011,0.28634397959787,10
X1,MAGA,0.148609065261521,0.130099979463653,0.106640831921871,0.0860449464186084,0.905499375895786,6.34025623512727e-08,10
X22,AdaCSE,0.039370106631412,0.0870345386448917,0.0251423576144632,0.0608793941159426,0.0966098423343356,0.118955578896938,10
X22,PSX,0.0457838526087304,0.151169416483422,0.0325320577356483,0.107848481587363,0.0261878172701433,0.0307536145095338,10
X22,EKGA-std,0.103294576714028,0.0973830897013447,0.0768325153270854,0.0618791292993081,0.121878775613491,0.194951831554789,10
X22,AESL-GA,0.0653832656651795,0.11856158966533,0.0449385320111757,0.0904107471797855,0.0979908162931033,0.136506456211162,10
X22,hybrid-SLA,0.0346427980505653,0.108202540105496,0.028047510472888,0.0806663378245466,0.0453818554983244,0.0238984314361914,10
X22,MIGA,0.00621868326532814,0.15018286812406,0.00250449670212396,0.106568361987153,0.0588059440005851,0.0184922426720116,10
X22,MAGA,0.0619685821178122,0.172932882698228,0.0475969147325924,0.138291644514711,0.0954602537591932,0.140275727584348,10
