Intervention,Method,Spearman,Kendall,NDCG_at_5,Top5
X1,AdaCSE,0.198998341643326,0.163972723660968,0.90549945524718,"X25(0.0000), X26(0.0000), X4(0.0000), X7(0.0000), X16(0.0000)"
X1,PSX,0.401946163344288,0.27872598020818,0.90549945524718,"X25(0.6404), X26(0.0006), X4(0.0003), X7(0.0001), X16(0.0000)"
X1,EKGA-std,0.110990982570448,0.083141099321054,0.905499329508939,"X25(0.6455), X26(0.0413), X13(0.0404), X4(0.0086), X16(0.0082)"
X1,AESL-GA,0.0578742380618174,0.0577368745285097,0.90549945524718,"X25(0.6406), X26(0.2043), X4(0.1095), X7(0.0669), X16(0.0625)"
X1,hybrid-SLA,0.369949937149002,0.288684372642549,0.905499442647571,"X25(0.6392), X26(0.0006), X4(0.0003), X16(0.0001), X7(0.0001)"
X1,MIGA,0.352142479283827,0.260970672868864,0.90549944283739,"X25(0.0000), X26(0.0000), X4(0.0000), X13(0.0000), X7(0.0000)"
X1,MAGA,0.0483773957986713,0.0486754897906818,0.90549945524718,"X25(0.6398), X26(0.2026), X4(0.1280), X7(0.0669), X16(0.0624)"
X22,AdaCSE,0.0529771871488943,0.0346421247171058,0.11024688490956,"X11(0.2259), X18(0.2143), X32(0.1283), X20(0.1143), X7(0.0917)"
X22,PSX,-0.10150796232403,-0.0715619189145467,1.08837051758238e-05,"X2(0.0000), X16(0.0000), X25(0.0000), X26(0.0000), X32(0.0000)"
X22,EKGA-std,-0.101706535182759,-0.0513461201093924,0.042679091453703,"X18(0.2600), X20(0.2237), X5(0.1642), X9(0.1504), X11(0.1265)"
X22,AESL-GA,0.0781302213834534,0.0392610746793866,0.0488992365664137,"X20(0.2665), X18(0.2558), X5(0.1580), X11(0.1420), X29(0.0993)"
X22,hybrid-SLA,0.0997217640449776,0.0484989746039482,0.0567159389998024,"X18(0.2521), X20(0.2262), X11(0.1413), X29(0.0981), X5(0.0727)"
X22,MIGA,-0.0186978307584333,-0.00692842494342117,0.0711430143218695,"X18(0.2187), X11(0.2093), X20(0.1344), X29(0.0837), X21(0.0750)"
X22,MAGA,0.0450126735687204,0.0496621848348229,0.0551452516443908,"X18(0.1826), X5(0.1508), X11(0.1508), X20(0.1193), X9(0.1077)"
